Microsoft Windows [版本 10.0.26100.2454]
(c) Microsoft Corporation。保留所有权利。

(QMR_CV) C:\Users\Administrator\Desktop\CV>cd lab1


(QMR_CV) C:\Users\Administrator\Desktop\CV\lab1>python lab.py
timer 1s
start
IF GPU READY: True
cuda
Epoch [1/1000], Loss: 0.43495383858680725
Epoch [2/1000], Loss: 0.1252753585577011
Epoch [3/1000], Loss: 0.09898000955581665
Epoch [4/1000], Loss: 0.04289599135518074
Epoch [5/1000], Loss: 0.04838382825255394
Epoch [6/1000], Loss: 0.3383536636829376
Epoch [7/1000], Loss: 0.669242799282074
Epoch [8/1000], Loss: 0.00785867776721716
Epoch [9/1000], Loss: 0.020429329946637154
Epoch [10/1000], Loss: 0.11201898008584976
Epoch [11/1000], Loss: 0.010556311346590519
Epoch [12/1000], Loss: 0.006589628756046295
Epoch [13/1000], Loss: 0.02782469056546688
Epoch [14/1000], Loss: 0.12472499161958694
Epoch [15/1000], Loss: 0.0013200318207964301
Epoch [16/1000], Loss: 0.004351520445197821
Epoch [17/1000], Loss: 0.01603573001921177
Epoch [18/1000], Loss: 0.0013222318375483155
Epoch [19/1000], Loss: 0.030724259093403816
Epoch [20/1000], Loss: 0.00717395031824708
Epoch [21/1000], Loss: 0.00022500490013044327
Epoch [22/1000], Loss: 0.0003578431496862322
Epoch [23/1000], Loss: 0.00021227785327937454
Epoch [24/1000], Loss: 0.015896810218691826
Epoch [25/1000], Loss: 0.0010087455157190561
Epoch [26/1000], Loss: 0.0052026729099452496
Epoch [27/1000], Loss: 0.08466660231351852
Epoch [28/1000], Loss: 0.042036596685647964
Epoch [29/1000], Loss: 0.00042970976210199296
Epoch [30/1000], Loss: 0.005196899641305208
Epoch [31/1000], Loss: 0.0010215904330834746
Epoch [32/1000], Loss: 0.003039306728169322
Epoch [33/1000], Loss: 0.0007977935019880533
Epoch [34/1000], Loss: 0.0007186562870629132
Epoch [35/1000], Loss: 0.09320303052663803
Epoch [36/1000], Loss: 0.5045337080955505
Epoch [37/1000], Loss: 0.020610524341464043
Epoch [38/1000], Loss: 0.00030253492877818644
Epoch [39/1000], Loss: 0.0006897569983266294
Epoch [40/1000], Loss: 0.001257840427570045
Epoch [41/1000], Loss: 0.031645726412534714
Epoch [42/1000], Loss: 0.010648957453668118
Epoch [43/1000], Loss: 0.001883618999272585
Epoch [44/1000], Loss: 0.00046964912326075137
Epoch [45/1000], Loss: 0.0013525442918762565
Epoch [46/1000], Loss: 0.0015362557023763657
Epoch [47/1000], Loss: 0.003612457774579525
Epoch [48/1000], Loss: 0.045838307589292526
Epoch [49/1000], Loss: 0.0045090327039361
Epoch [50/1000], Loss: 0.006343264132738113
Epoch [51/1000], Loss: 0.00011435092892497778
Epoch [52/1000], Loss: 0.005732732359319925
Epoch [53/1000], Loss: 0.0383780412375927
Epoch [54/1000], Loss: 0.668971061706543
Epoch [55/1000], Loss: 0.005878608673810959
Epoch [56/1000], Loss: 6.29007481620647e-05
Epoch [57/1000], Loss: 0.0014235234120860696
Epoch [58/1000], Loss: 0.1637076437473297
Epoch [59/1000], Loss: 0.24278712272644043
Epoch [60/1000], Loss: 3.3417760278098285e-05
Epoch [61/1000], Loss: 0.00022057561727706343
Epoch [62/1000], Loss: 7.358635048149154e-05
Epoch [63/1000], Loss: 0.026613300666213036
Epoch [64/1000], Loss: 0.1274430900812149
Epoch [65/1000], Loss: 0.0330190546810627
Epoch [66/1000], Loss: 0.00011836758494609967
Epoch [67/1000], Loss: 0.00020393422164488584
Epoch [68/1000], Loss: 0.0012268947903066874
Epoch [69/1000], Loss: 0.014262168668210506
Epoch [70/1000], Loss: 0.001289315870963037
Epoch [71/1000], Loss: 0.0007480738568119705
Epoch [72/1000], Loss: 0.0002810764708556235
Epoch [73/1000], Loss: 0.9124124646186829
Epoch [74/1000], Loss: 0.08236091583967209
Epoch [75/1000], Loss: 0.0037783498410135508
Epoch [76/1000], Loss: 0.009281900711357594
Epoch [77/1000], Loss: 1.3629428394779097e-05
Epoch [78/1000], Loss: 3.9020389522193e-05
Epoch [79/1000], Loss: 0.001457985956221819
Epoch [80/1000], Loss: 0.00015960593009367585
Epoch [81/1000], Loss: 0.0017640216974541545
Epoch [82/1000], Loss: 0.0007292294758372009
Epoch [83/1000], Loss: 0.003912897780537605
Epoch [84/1000], Loss: 4.0251517930300906e-05
Epoch [85/1000], Loss: 0.001086671371012926
Epoch [86/1000], Loss: 0.0022698824759572744
Epoch [87/1000], Loss: 0.005520978476852179
Epoch [88/1000], Loss: 0.007048042956739664
Epoch [89/1000], Loss: 0.0037846919149160385
Epoch [90/1000], Loss: 0.008828727528452873
Epoch [91/1000], Loss: 0.0014429489383473992
Epoch [92/1000], Loss: 0.014812071807682514
Epoch [93/1000], Loss: 0.0018428023904561996
Epoch [94/1000], Loss: 0.01058374997228384
Epoch [95/1000], Loss: 0.01243149396032095
Epoch [96/1000], Loss: 0.0003403575683478266
Epoch [97/1000], Loss: 0.0005215359851717949
Epoch [98/1000], Loss: 8.674029959365726e-05
Epoch [99/1000], Loss: 4.080787766724825e-05
Epoch [100/1000], Loss: 0.040742237120866776
Epoch [101/1000], Loss: 0.0018714270554482937
Epoch [102/1000], Loss: 0.00019200885435566306
Epoch [103/1000], Loss: 0.0027741941157728434
Epoch [104/1000], Loss: 0.2494957447052002
Epoch [105/1000], Loss: 0.002138130133971572
Epoch [106/1000], Loss: 0.00017408072017133236
Epoch [107/1000], Loss: 0.0016159970546141267
Epoch [108/1000], Loss: 0.008495667017996311
Epoch [109/1000], Loss: 0.017595022916793823
Epoch [110/1000], Loss: 0.025457531213760376
Epoch [111/1000], Loss: 0.0023188882041722536
Epoch [112/1000], Loss: 0.0003011543594766408
Epoch [113/1000], Loss: 0.0028676073998212814
Epoch [114/1000], Loss: 0.13597817718982697
Epoch [115/1000], Loss: 0.0021042798180133104
Epoch [116/1000], Loss: 0.12563519179821014
Epoch [117/1000], Loss: 0.006901187356561422
Epoch [118/1000], Loss: 0.020360907539725304
Epoch [119/1000], Loss: 0.04367561265826225
Epoch [120/1000], Loss: 0.0016383221372961998
Epoch [121/1000], Loss: 0.001044831587933004
Epoch [122/1000], Loss: 0.0019287107279524207
Epoch [123/1000], Loss: 0.00011995265958830714
Epoch [124/1000], Loss: 0.0030086322221904993
Epoch [125/1000], Loss: 2.344442918911227e-06
Epoch [126/1000], Loss: 0.00015881203580647707
Epoch [127/1000], Loss: 0.00024276426120195538
Epoch [128/1000], Loss: 3.456949343672022e-05
Epoch [129/1000], Loss: 0.008919662795960903
Epoch [130/1000], Loss: 0.03829440101981163
Epoch [131/1000], Loss: 2.9881071895943023e-05
Epoch [132/1000], Loss: 0.0002864050620701164
Epoch [133/1000], Loss: 0.022332338616251945
Epoch [134/1000], Loss: 0.0010531682055443525
Epoch [135/1000], Loss: 0.007039290387183428
Epoch [136/1000], Loss: 0.0005895384238101542
Epoch [137/1000], Loss: 0.02277492731809616
Epoch [138/1000], Loss: 0.00017556855164002627
